index,true_age_bin,true_gender,true_race,deepface_age,deepface_gender,gender_confidence
2842,0-2,Male,Middle Eastern,23,Man,"{'Woman': np.float32(7.8106747), 'Man': np.float32(92.18932)}"
2843,3-9,Male,Middle Eastern,20,Woman,"{'Woman': np.float32(93.08664), 'Man': np.float32(6.9133544)}"
2845,10-19,Female,Black,33,Man,"{'Woman': np.float32(19.09255), 'Man': np.float32(80.90745)}"
2846,10-19,Male,Middle Eastern,21,Man,"{'Woman': np.float32(0.5198706), 'Man': np.float32(99.480125)}"
2847,3-9,Male,East Asian,18,Man,"{'Woman': np.float32(5.0581703), 'Man': np.float32(94.94183)}"
2848,3-9,Male,Black,26,Man,"{'Woman': np.float32(9.034532), 'Man': np.float32(90.96547)}"
2849,10-19,Male,Southeast Asian,21,Man,"{'Woman': np.float32(0.23197168), 'Man': np.float32(99.76803)}"
2851,0-2,Male,White,29,Man,"{'Woman': np.float32(13.526162), 'Man': np.float32(86.47383)}"
2852,10-19,Female,Latino_Hispanic,28,Woman,"{'Woman': np.float32(52.542995), 'Man': np.float32(47.457)}"
2853,3-9,Female,Black,34,Man,"{'Woman': np.float32(4.7646866), 'Man': np.float32(95.23531)}"
2854,10-19,Female,Black,31,Man,"{'Woman': np.float32(25.513166), 'Man': np.float32(74.48683)}"
2855,3-9,Male,Middle Eastern,28,Man,"{'Woman': np.float32(32.765343), 'Man': np.float32(67.234665)}"
2858,10-19,Male,Indian,31,Man,"{'Woman': np.float32(0.9411638), 'Man': np.float32(99.05883)}"
2860,3-9,Male,Black,34,Man,"{'Woman': np.float32(24.81865), 'Man': np.float32(75.18135)}"
2861,0-2,Female,White,31,Man,"{'Woman': np.float32(14.584555), 'Man': np.float32(85.41544)}"
2866,3-9,Female,Southeast Asian,25,Man,"{'Woman': np.float32(3.5435903), 'Man': np.float32(96.45641)}"
2873,3-9,Female,Indian,22,Woman,"{'Woman': np.float32(99.53615), 'Man': np.float32(0.46384627)}"
2875,10-19,Female,East Asian,33,Man,"{'Woman': np.float32(9.913425), 'Man': np.float32(90.08658)}"
2877,3-9,Female,Southeast Asian,23,Man,"{'Woman': np.float32(2.5682173), 'Man': np.float32(97.431786)}"
2879,10-19,Female,Southeast Asian,36,Man,"{'Woman': np.float32(37.15741), 'Man': np.float32(62.842583)}"
2881,3-9,Male,Indian,29,Man,"{'Woman': np.float32(11.548125), 'Man': np.float32(88.45188)}"
2882,3-9,Female,Latino_Hispanic,31,Woman,"{'Woman': np.float32(92.21318), 'Man': np.float32(7.7868233)}"
2885,10-19,Female,White,25,Woman,"{'Woman': np.float32(99.998856), 'Man': np.float32(0.0011393243)}"
2893,10-19,Male,White,29,Man,"{'Woman': np.float32(3.7304766), 'Man': np.float32(96.26953)}"
2895,3-9,Male,Latino_Hispanic,29,Man,"{'Woman': np.float32(4.858173), 'Man': np.float32(95.14182)}"
2896,10-19,Female,Black,31,Man,"{'Woman': np.float32(4.73832), 'Man': np.float32(95.26167)}"
2900,3-9,Male,Black,39,Man,"{'Woman': np.float32(48.493298), 'Man': np.float32(51.50671)}"
2903,3-9,Female,Southeast Asian,30,Woman,"{'Woman': np.float32(91.52282), 'Man': np.float32(8.477183)}"
2918,10-19,Female,White,32,Man,"{'Woman': np.float32(16.711586), 'Man': np.float32(83.288414)}"
2923,3-9,Male,Latino_Hispanic,27,Man,"{'Woman': np.float32(18.64295), 'Man': np.float32(81.35705)}"
2928,10-19,Male,Middle Eastern,28,Man,"{'Woman': np.float32(0.07295465), 'Man': np.float32(99.92705)}"
2932,10-19,Female,Indian,35,Woman,"{'Woman': np.float32(99.97373), 'Man': np.float32(0.026272407)}"
2935,10-19,Female,Latino_Hispanic,31,Woman,"{'Woman': np.float32(96.00196), 'Man': np.float32(3.998045)}"
2939,3-9,Female,Southeast Asian,30,Woman,"{'Woman': np.float32(61.296505), 'Man': np.float32(38.70349)}"
2940,3-9,Male,Black,28,Man,"{'Woman': np.float32(28.782883), 'Man': np.float32(71.21712)}"
2946,3-9,Female,Black,25,Man,"{'Woman': np.float32(2.906421), 'Man': np.float32(97.09358)}"
2950,3-9,Female,Latino_Hispanic,32,Man,"{'Woman': np.float32(43.859234), 'Man': np.float32(56.140762)}"
2951,3-9,Female,Latino_Hispanic,25,Man,"{'Woman': np.float32(2.8683038), 'Man': np.float32(97.13169)}"
2952,3-9,Male,White,25,Man,"{'Woman': np.float32(1.8726978), 'Man': np.float32(98.127304)}"
2954,10-19,Female,Black,31,Woman,"{'Woman': np.float32(55.135418), 'Man': np.float32(44.864582)}"
2962,3-9,Female,Latino_Hispanic,29,Woman,"{'Woman': np.float32(98.645004), 'Man': np.float32(1.354997)}"
2967,3-9,Male,Black,36,Man,"{'Woman': np.float32(5.3109727), 'Man': np.float32(94.689026)}"
2969,3-9,Male,Southeast Asian,25,Man,"{'Woman': np.float32(2.0889993), 'Man': np.float32(97.911)}"
2972,3-9,Female,Southeast Asian,22,Man,"{'Woman': np.float32(0.7228861), 'Man': np.float32(99.27711)}"
2978,10-19,Female,Latino_Hispanic,30,Woman,"{'Woman': np.float32(99.99996), 'Man': np.float32(3.7361013e-05)}"
2979,3-9,Male,White,33,Woman,"{'Woman': np.float32(81.16957), 'Man': np.float32(18.830431)}"
2984,10-19,Male,White,23,Woman,"{'Woman': np.float32(68.50129), 'Man': np.float32(31.498714)}"
2986,3-9,Female,Indian,33,Woman,"{'Woman': np.float32(90.878334), 'Man': np.float32(9.121666)}"
2989,3-9,Female,White,25,Man,"{'Woman': np.float32(10.748285), 'Man': np.float32(89.25172)}"
2992,10-19,Male,Black,31,Man,"{'Woman': np.float32(0.027910423), 'Man': np.float32(99.972084)}"
2997,10-19,Female,Southeast Asian,28,Woman,"{'Woman': np.float32(78.52083), 'Man': np.float32(21.479168)}"
2998,3-9,Male,Southeast Asian,31,Woman,"{'Woman': np.float32(89.71092), 'Man': np.float32(10.289082)}"
2999,10-19,Female,Southeast Asian,28,Man,"{'Woman': np.float32(6.1480036), 'Man': np.float32(93.852005)}"
3003,10-19,Male,East Asian,31,Man,"{'Woman': np.float32(28.668076), 'Man': np.float32(71.331924)}"
3009,10-19,Female,Black,29,Woman,"{'Woman': np.float32(80.840706), 'Man': np.float32(19.159292)}"
3020,10-19,Male,Southeast Asian,33,Woman,"{'Woman': np.float32(99.371), 'Man': np.float32(0.62899256)}"
3025,10-19,Female,East Asian,33,Woman,"{'Woman': np.float32(58.30947), 'Man': np.float32(41.690533)}"
3029,3-9,Male,Latino_Hispanic,36,Man,"{'Woman': np.float32(4.0348506), 'Man': np.float32(95.96515)}"
3036,0-2,Female,East Asian,31,Man,"{'Woman': np.float32(1.1427265), 'Man': np.float32(98.85727)}"
3039,3-9,Male,White,23,Man,"{'Woman': np.float32(31.359621), 'Man': np.float32(68.64038)}"
3040,10-19,Male,Southeast Asian,23,Man,"{'Woman': np.float32(0.1768707), 'Man': np.float32(99.823135)}"
3047,3-9,Male,Southeast Asian,29,Man,"{'Woman': np.float32(0.09848123), 'Man': np.float32(99.90152)}"
3050,3-9,Male,White,30,Man,"{'Woman': np.float32(1.1619877), 'Man': np.float32(98.838005)}"
3052,3-9,Female,Southeast Asian,17,Man,"{'Woman': np.float32(4.0359993), 'Man': np.float32(95.964005)}"
3053,10-19,Female,Latino_Hispanic,25,Man,"{'Woman': np.float32(27.272675), 'Man': np.float32(72.727325)}"
3056,3-9,Male,East Asian,30,Man,"{'Woman': np.float32(4.9135284), 'Man': np.float32(95.086464)}"
3064,more than 70,Male,Indian,56,Man,"{'Woman': np.float32(0.038425032), 'Man': np.float32(99.96156)}"
3066,10-19,Male,White,29,Man,"{'Woman': np.float32(4.926679), 'Man': np.float32(95.07332)}"
3067,10-19,Female,Indian,31,Man,"{'Woman': np.float32(0.6394198), 'Man': np.float32(99.36057)}"
3071,10-19,Male,Latino_Hispanic,24,Man,"{'Woman': np.float32(2.2515702), 'Man': np.float32(97.74843)}"
3074,3-9,Male,East Asian,21,Man,"{'Woman': np.float32(0.95636535), 'Man': np.float32(99.04364)}"
3075,3-9,Male,Southeast Asian,29,Woman,"{'Woman': np.float32(98.28171), 'Man': np.float32(1.7182965)}"
3078,3-9,Female,Southeast Asian,24,Man,"{'Woman': np.float32(0.99757874), 'Man': np.float32(99.00242)}"
3084,3-9,Female,Latino_Hispanic,31,Woman,"{'Woman': np.float32(98.555664), 'Man': np.float32(1.4443325)}"
3085,3-9,Male,White,24,Man,"{'Woman': np.float32(5.0915585), 'Man': np.float32(94.90844)}"
3088,10-19,Male,Black,30,Man,"{'Woman': np.float32(36.213932), 'Man': np.float32(63.78607)}"
3097,3-9,Male,Indian,27,Man,"{'Woman': np.float32(1.6011484), 'Man': np.float32(98.39885)}"
3099,10-19,Male,East Asian,29,Woman,"{'Woman': np.float32(66.148285), 'Man': np.float32(33.85171)}"
3100,10-19,Female,Middle Eastern,26,Woman,"{'Woman': np.float32(99.423706), 'Man': np.float32(0.5762857)}"
3101,3-9,Male,East Asian,29,Man,"{'Woman': np.float32(16.525013), 'Man': np.float32(83.47498)}"
3108,3-9,Female,Latino_Hispanic,33,Woman,"{'Woman': np.float32(97.76617), 'Man': np.float32(2.2338362)}"
3110,10-19,Female,Latino_Hispanic,24,Man,"{'Woman': np.float32(3.8693125), 'Man': np.float32(96.130684)}"
3114,10-19,Male,Black,27,Man,"{'Woman': np.float32(0.85950774), 'Man': np.float32(99.14049)}"
3115,10-19,Female,White,39,Man,"{'Woman': np.float32(23.449686), 'Man': np.float32(76.550316)}"
3116,more than 70,Male,Indian,59,Man,"{'Woman': np.float32(4.26327), 'Man': np.float32(95.736725)}"
3118,10-19,Female,Southeast Asian,26,Woman,"{'Woman': np.float32(97.59197), 'Man': np.float32(2.408019)}"
3119,3-9,Female,Indian,23,Woman,"{'Woman': np.float32(96.15532), 'Man': np.float32(3.8446813)}"
3120,10-19,Female,Latino_Hispanic,33,Man,"{'Woman': np.float32(17.965862), 'Man': np.float32(82.034134)}"
3123,3-9,Male,Southeast Asian,38,Man,"{'Woman': np.float32(11.805074), 'Man': np.float32(88.19492)}"
3145,3-9,Female,Indian,22,Man,"{'Woman': np.float32(10.292313), 'Man': np.float32(89.70769)}"
3148,more than 70,Male,Indian,30,Man,"{'Woman': np.float32(0.53513414), 'Man': np.float32(99.46487)}"
3151,3-9,Female,Southeast Asian,25,Man,"{'Woman': np.float32(3.8332782), 'Man': np.float32(96.166725)}"
3153,3-9,Male,East Asian,29,Woman,"{'Woman': np.float32(87.973175), 'Man': np.float32(12.026826)}"
3155,3-9,Male,Latino_Hispanic,19,Man,"{'Woman': np.float32(7.0723424), 'Man': np.float32(92.927666)}"
3157,3-9,Female,Black,26,Man,"{'Woman': np.float32(0.40588495), 'Man': np.float32(99.59412)}"
3158,3-9,Male,East Asian,28,Man,"{'Woman': np.float32(21.62618), 'Man': np.float32(78.37382)}"
3184,3-9,Female,Latino_Hispanic,28,Woman,"{'Woman': np.float32(80.047775), 'Man': np.float32(19.95223)}"
3187,3-9,Male,White,19,Man,"{'Woman': np.float32(2.0378306), 'Man': np.float32(97.962166)}"
3191,3-9,Male,White,25,Man,"{'Woman': np.float32(18.26945), 'Man': np.float32(81.73055)}"
3194,10-19,Male,Latino_Hispanic,23,Woman,"{'Woman': np.float32(97.16548), 'Man': np.float32(2.8345163)}"
3200,3-9,Male,Southeast Asian,23,Man,"{'Woman': np.float32(1.1238625), 'Man': np.float32(98.87614)}"
3204,10-19,Male,Southeast Asian,28,Man,"{'Woman': np.float32(47.152184), 'Man': np.float32(52.847816)}"
3205,3-9,Male,White,43,Woman,"{'Woman': np.float32(95.32727), 'Man': np.float32(4.672736)}"
3206,10-19,Male,White,25,Man,"{'Woman': np.float32(0.002012311), 'Man': np.float32(99.997986)}"
3208,10-19,Male,Southeast Asian,33,Man,"{'Woman': np.float32(42.577633), 'Man': np.float32(57.422363)}"
3209,3-9,Male,Latino_Hispanic,28,Man,"{'Woman': np.float32(39.402393), 'Man': np.float32(60.597603)}"
3216,3-9,Female,Southeast Asian,26,Man,"{'Woman': np.float32(17.195951), 'Man': np.float32(82.80405)}"
3232,10-19,Male,White,36,Man,"{'Woman': np.float32(17.02196), 'Man': np.float32(82.97804)}"
3237,10-19,Male,Indian,25,Man,"{'Woman': np.float32(0.2928345), 'Man': np.float32(99.70716)}"
3243,10-19,Female,Southeast Asian,27,Man,"{'Woman': np.float32(13.591601), 'Man': np.float32(86.4084)}"
3248,3-9,Male,East Asian,32,Man,"{'Woman': np.float32(48.65069), 'Man': np.float32(51.34932)}"
3253,10-19,Female,Middle Eastern,35,Man,"{'Woman': np.float32(46.35087), 'Man': np.float32(53.64914)}"
3259,10-19,Female,Black,25,Man,"{'Woman': np.float32(0.5983721), 'Man': np.float32(99.40163)}"
3262,more than 70,Female,White,40,Man,"{'Woman': np.float32(4.591902), 'Man': np.float32(95.4081)}"
3270,10-19,Male,White,30,Woman,"{'Woman': np.float32(80.460335), 'Man': np.float32(19.539661)}"
3274,10-19,Male,East Asian,30,Woman,"{'Woman': np.float32(86.28515), 'Man': np.float32(13.714843)}"
3278,10-19,Male,Black,29,Man,"{'Woman': np.float32(0.4415873), 'Man': np.float32(99.55842)}"
3279,0-2,Male,White,40,Man,"{'Woman': np.float32(7.8801937), 'Man': np.float32(92.119804)}"
3280,3-9,Female,Indian,24,Woman,"{'Woman': np.float32(61.4039), 'Man': np.float32(38.5961)}"
3282,10-19,Male,Indian,28,Man,"{'Woman': np.float32(15.404628), 'Man': np.float32(84.59537)}"
3285,10-19,Female,Latino_Hispanic,32,Man,"{'Woman': np.float32(44.860577), 'Man': np.float32(55.139423)}"
3286,3-9,Male,Southeast Asian,26,Man,"{'Woman': np.float32(34.976707), 'Man': np.float32(65.02329)}"
3290,10-19,Female,Latino_Hispanic,25,Woman,"{'Woman': np.float32(60.310127), 'Man': np.float32(39.689877)}"
3292,3-9,Male,East Asian,26,Man,"{'Woman': np.float32(0.42951912), 'Man': np.float32(99.57048)}"
3294,3-9,Male,East Asian,27,Man,"{'Woman': np.float32(15.750572), 'Man': np.float32(84.24943)}"
3295,0-2,Male,Middle Eastern,29,Woman,"{'Woman': np.float32(98.46431), 'Man': np.float32(1.5356919)}"
3298,3-9,Male,East Asian,24,Man,"{'Woman': np.float32(11.203205), 'Man': np.float32(88.79679)}"
3299,3-9,Female,White,28,Man,"{'Woman': np.float32(37.07463), 'Man': np.float32(62.925373)}"
3300,3-9,Male,East Asian,32,Woman,"{'Woman': np.float32(83.86432), 'Man': np.float32(16.135685)}"
3302,3-9,Female,Latino_Hispanic,32,Woman,"{'Woman': np.float32(71.74592), 'Man': np.float32(28.254086)}"
3312,0-2,Female,Black,23,Man,"{'Woman': np.float32(0.6411171), 'Man': np.float32(99.35888)}"
3316,10-19,Female,Indian,34,Man,"{'Woman': np.float32(32.84851), 'Man': np.float32(67.15149)}"
3320,0-2,Male,East Asian,25,Man,"{'Woman': np.float32(32.514526), 'Man': np.float32(67.48547)}"
3321,10-19,Female,East Asian,28,Woman,"{'Woman': np.float32(80.9233), 'Man': np.float32(19.076698)}"
3323,3-9,Female,Southeast Asian,38,Man,"{'Woman': np.float32(7.9871073), 'Man': np.float32(92.0129)}"
3324,3-9,Female,Indian,30,Man,"{'Woman': np.float32(9.784802), 'Man': np.float32(90.2152)}"
3325,10-19,Male,Latino_Hispanic,37,Woman,"{'Woman': np.float32(50.53871), 'Man': np.float32(49.46128)}"
3327,3-9,Female,Southeast Asian,31,Man,"{'Woman': np.float32(19.785843), 'Man': np.float32(80.21416)}"
3333,10-19,Female,Middle Eastern,26,Man,"{'Woman': np.float32(1.6610548), 'Man': np.float32(98.33894)}"
3337,10-19,Female,Indian,33,Man,"{'Woman': np.float32(38.018997), 'Man': np.float32(61.981003)}"
3340,3-9,Male,Black,28,Woman,"{'Woman': np.float32(77.74132), 'Man': np.float32(22.258682)}"
3346,10-19,Female,Black,29,Man,"{'Woman': np.float32(10.269887), 'Man': np.float32(89.73011)}"
3351,10-19,Female,White,30,Man,"{'Woman': np.float32(13.16625), 'Man': np.float32(86.83375)}"
3352,3-9,Male,Black,29,Man,"{'Woman': np.float32(1.020865), 'Man': np.float32(98.97913)}"
3359,10-19,Female,Black,24,Man,"{'Woman': np.float32(0.16363841), 'Man': np.float32(99.836365)}"
3360,10-19,Male,Indian,31,Man,"{'Woman': np.float32(19.598898), 'Man': np.float32(80.40111)}"
3362,3-9,Female,Black,28,Man,"{'Woman': np.float32(2.2873156), 'Man': np.float32(97.71269)}"
3366,10-19,Male,Southeast Asian,30,Man,"{'Woman': np.float32(7.228209), 'Man': np.float32(92.77179)}"
3370,3-9,Male,Black,24,Man,"{'Woman': np.float32(1.8658628), 'Man': np.float32(98.13414)}"
3375,10-19,Female,East Asian,30,Man,"{'Woman': np.float32(9.071079), 'Man': np.float32(90.928925)}"
3378,3-9,Male,Latino_Hispanic,24,Man,"{'Woman': np.float32(1.2849926), 'Man': np.float32(98.715004)}"
3381,3-9,Female,Southeast Asian,23,Man,"{'Woman': np.float32(5.140116), 'Man': np.float32(94.85988)}"
3392,0-2,Female,White,31,Woman,"{'Woman': np.float32(83.44303), 'Man': np.float32(16.556965)}"
3393,10-19,Female,Black,31,Man,"{'Woman': np.float32(3.2000675), 'Man': np.float32(96.79994)}"
3394,3-9,Male,Black,27,Man,"{'Woman': np.float32(0.071843915), 'Man': np.float32(99.92816)}"
3395,3-9,Male,Latino_Hispanic,31,Man,"{'Woman': np.float32(19.434639), 'Man': np.float32(80.56536)}"
3396,3-9,Female,Southeast Asian,29,Man,"{'Woman': np.float32(0.14415592), 'Man': np.float32(99.85584)}"
3404,more than 70,Female,Black,26,Man,"{'Woman': np.float32(1.4272914), 'Man': np.float32(98.5727)}"
3410,10-19,Male,East Asian,34,Man,"{'Woman': np.float32(27.204027), 'Man': np.float32(72.79597)}"
3414,3-9,Male,Southeast Asian,27,Man,"{'Woman': np.float32(45.395386), 'Man': np.float32(54.604614)}"
3420,10-19,Male,Indian,33,Man,"{'Woman': np.float32(6.462712), 'Man': np.float32(93.537285)}"
3422,10-19,Female,Middle Eastern,28,Man,"{'Woman': np.float32(12.561193), 'Man': np.float32(87.438805)}"
3427,3-9,Female,Southeast Asian,32,Man,"{'Woman': np.float32(1.1438439), 'Man': np.float32(98.856155)}"
3430,0-2,Female,East Asian,34,Man,"{'Woman': np.float32(11.627949), 'Man': np.float32(88.37205)}"
3440,3-9,Female,Latino_Hispanic,32,Man,"{'Woman': np.float32(48.34217), 'Man': np.float32(51.657833)}"
3443,0-2,Female,East Asian,28,Woman,"{'Woman': np.float32(96.35913), 'Man': np.float32(3.6408617)}"
3444,3-9,Female,White,36,Man,"{'Woman': np.float32(45.3463), 'Man': np.float32(54.653706)}"
3445,10-19,Female,Indian,31,Man,"{'Woman': np.float32(4.3029556), 'Man': np.float32(95.697044)}"
3457,3-9,Female,Indian,30,Man,"{'Woman': np.float32(0.83871067), 'Man': np.float32(99.16129)}"
3468,10-19,Female,White,31,Woman,"{'Woman': np.float32(57.540775), 'Man': np.float32(42.45923)}"
3470,3-9,Male,Indian,29,Man,"{'Woman': np.float32(7.4875445), 'Man': np.float32(92.51246)}"
3471,3-9,Female,Latino_Hispanic,30,Woman,"{'Woman': np.float32(79.01061), 'Man': np.float32(20.989391)}"
3472,10-19,Female,White,25,Woman,"{'Woman': np.float32(99.404), 'Man': np.float32(0.5960035)}"
3473,10-19,Female,Southeast Asian,26,Man,"{'Woman': np.float32(5.0095773), 'Man': np.float32(94.99042)}"
3474,10-19,Male,White,27,Man,"{'Woman': np.float32(0.2218201), 'Man': np.float32(99.77818)}"
3475,3-9,Female,East Asian,32,Woman,"{'Woman': np.float32(82.40419), 'Man': np.float32(17.595814)}"
3476,10-19,Female,Indian,30,Man,"{'Woman': np.float32(0.90014076), 'Man': np.float32(99.09986)}"
3478,3-9,Male,Southeast Asian,24,Man,"{'Woman': np.float32(8.87122), 'Man': np.float32(91.12878)}"
3492,3-9,Female,East Asian,28,Man,"{'Woman': np.float32(2.5178957), 'Man': np.float32(97.4821)}"
3493,0-2,Male,Indian,23,Man,"{'Woman': np.float32(5.910128), 'Man': np.float32(94.089874)}"
3494,3-9,Female,Middle Eastern,35,Man,"{'Woman': np.float32(29.91319), 'Man': np.float32(70.08681)}"
3496,3-9,Female,Latino_Hispanic,24,Woman,"{'Woman': np.float32(98.80003), 'Man': np.float32(1.1999604)}"
3499,3-9,Male,Southeast Asian,28,Man,"{'Woman': np.float32(0.1228294), 'Man': np.float32(99.877174)}"
3501,3-9,Male,Latino_Hispanic,34,Man,"{'Woman': np.float32(19.495687), 'Man': np.float32(80.50431)}"
3506,10-19,Male,Latino_Hispanic,26,Man,"{'Woman': np.float32(0.014313984), 'Man': np.float32(99.98568)}"
3509,more than 70,Male,Indian,34,Man,"{'Woman': np.float32(7.108565), 'Man': np.float32(92.89143)}"
3518,3-9,Male,Indian,23,Woman,"{'Woman': np.float32(59.647293), 'Man': np.float32(40.352707)}"
3519,3-9,Male,East Asian,27,Man,"{'Woman': np.float32(1.7943667), 'Man': np.float32(98.205635)}"
3520,10-19,Female,Middle Eastern,27,Woman,"{'Woman': np.float32(99.99523), 'Man': np.float32(0.004766596)}"
3521,3-9,Female,Black,30,Man,"{'Woman': np.float32(48.28135), 'Man': np.float32(51.718647)}"
3527,10-19,Male,Southeast Asian,30,Man,"{'Woman': np.float32(3.4097064), 'Man': np.float32(96.590294)}"
3530,3-9,Male,Latino_Hispanic,23,Man,"{'Woman': np.float32(7.5063796), 'Man': np.float32(92.493614)}"
3536,3-9,Female,Indian,31,Woman,"{'Woman': np.float32(96.41195), 'Man': np.float32(3.588048)}"
3538,3-9,Male,Middle Eastern,37,Man,"{'Woman': np.float32(7.339356), 'Man': np.float32(92.660645)}"
3539,3-9,Male,East Asian,28,Man,"{'Woman': np.float32(0.48886868), 'Man': np.float32(99.51113)}"
3550,3-9,Male,Black,37,Man,"{'Woman': np.float32(14.863584), 'Man': np.float32(85.13642)}"
3554,10-19,Male,Black,36,Man,"{'Woman': np.float32(2.9756722), 'Man': np.float32(97.02433)}"
3558,3-9,Male,Middle Eastern,34,Man,"{'Woman': np.float32(6.3239365), 'Man': np.float32(93.67606)}"
3559,3-9,Male,Latino_Hispanic,29,Man,"{'Woman': np.float32(13.902943), 'Man': np.float32(86.09706)}"
3567,3-9,Male,Latino_Hispanic,22,Man,"{'Woman': np.float32(27.016445), 'Man': np.float32(72.98356)}"
3568,10-19,Male,Southeast Asian,29,Man,"{'Woman': np.float32(0.6875372), 'Man': np.float32(99.31247)}"
3570,3-9,Male,Indian,30,Man,"{'Woman': np.float32(6.736099), 'Man': np.float32(93.26391)}"
3575,3-9,Male,White,29,Man,"{'Woman': np.float32(4.1732287), 'Man': np.float32(95.82676)}"
3577,10-19,Male,Black,33,Man,"{'Woman': np.float32(13.6315975), 'Man': np.float32(86.36841)}"
3579,10-19,Female,Indian,27,Man,"{'Woman': np.float32(16.267168), 'Man': np.float32(83.732834)}"
3581,10-19,Male,Black,33,Woman,"{'Woman': np.float32(50.82677), 'Man': np.float32(49.173225)}"
3588,10-19,Male,Middle Eastern,27,Man,"{'Woman': np.float32(2.0923064), 'Man': np.float32(97.9077)}"
3591,10-19,Male,Southeast Asian,23,Man,"{'Woman': np.float32(0.59562165), 'Man': np.float32(99.40437)}"
3595,3-9,Female,Latino_Hispanic,41,Man,"{'Woman': np.float32(6.138024), 'Man': np.float32(93.86198)}"
3600,3-9,Female,Black,30,Woman,"{'Woman': np.float32(99.18927), 'Man': np.float32(0.81072813)}"
3602,3-9,Female,White,24,Man,"{'Woman': np.float32(5.684225), 'Man': np.float32(94.31577)}"
3603,more than 70,Female,East Asian,35,Man,"{'Woman': np.float32(30.43598), 'Man': np.float32(69.56402)}"
3608,3-9,Male,White,22,Woman,"{'Woman': np.float32(95.343094), 'Man': np.float32(4.656899)}"
3609,3-9,Male,Middle Eastern,35,Man,"{'Woman': np.float32(2.3503716), 'Man': np.float32(97.64963)}"
3612,10-19,Female,Indian,23,Man,"{'Woman': np.float32(0.534243), 'Man': np.float32(99.46576)}"
3615,10-19,Male,Southeast Asian,25,Man,"{'Woman': np.float32(0.27668142), 'Man': np.float32(99.72332)}"
3620,3-9,Male,Latino_Hispanic,29,Man,"{'Woman': np.float32(1.7452538), 'Man': np.float32(98.254745)}"
3623,10-19,Female,Black,29,Man,"{'Woman': np.float32(10.880752), 'Man': np.float32(89.11925)}"
3624,3-9,Female,Black,29,Woman,"{'Woman': np.float32(53.122944), 'Man': np.float32(46.87706)}"
3625,3-9,Male,Southeast Asian,33,Woman,"{'Woman': np.float32(68.30615), 'Man': np.float32(31.693846)}"
3626,3-9,Female,Southeast Asian,27,Man,"{'Woman': np.float32(9.98991), 'Man': np.float32(90.010086)}"
3627,10-19,Male,Black,30,Man,"{'Woman': np.float32(4.5464764), 'Man': np.float32(95.45352)}"
3628,10-19,Female,White,27,Man,"{'Woman': np.float32(35.378056), 'Man': np.float32(64.62194)}"
3633,3-9,Male,East Asian,31,Woman,"{'Woman': np.float32(55.26613), 'Man': np.float32(44.73387)}"
3639,10-19,Male,East Asian,30,Woman,"{'Woman': np.float32(72.933014), 'Man': np.float32(27.066984)}"
3643,10-19,Male,East Asian,22,Man,"{'Woman': np.float32(25.921608), 'Man': np.float32(74.07839)}"
3644,10-19,Female,Latino_Hispanic,31,Woman,"{'Woman': np.float32(99.62219), 'Man': np.float32(0.37781137)}"
3647,10-19,Female,Indian,30,Man,"{'Woman': np.float32(1.8598819), 'Man': np.float32(98.140114)}"
3657,3-9,Male,Latino_Hispanic,28,Man,"{'Woman': np.float32(9.807186), 'Man': np.float32(90.19281)}"
3666,10-19,Male,Black,29,Man,"{'Woman': np.float32(11.502385), 'Man': np.float32(88.49762)}"
3671,10-19,Female,East Asian,25,Man,"{'Woman': np.float32(33.62308), 'Man': np.float32(66.376915)}"
3674,10-19,Female,Latino_Hispanic,23,Man,"{'Woman': np.float32(33.583996), 'Man': np.float32(66.416)}"
3680,10-19,Female,Southeast Asian,36,Man,"{'Woman': np.float32(0.7622876), 'Man': np.float32(99.2377)}"
3683,3-9,Female,East Asian,29,Man,"{'Woman': np.float32(8.684446), 'Man': np.float32(91.31555)}"
3685,3-9,Female,Latino_Hispanic,29,Man,"{'Woman': np.float32(9.051534), 'Man': np.float32(90.94846)}"
3693,10-19,Male,Southeast Asian,26,Man,"{'Woman': np.float32(1.1185337), 'Man': np.float32(98.88146)}"
3695,3-9,Male,Black,30,Man,"{'Woman': np.float32(5.271569), 'Man': np.float32(94.72843)}"
3705,0-2,Male,White,25,Man,"{'Woman': np.float32(32.349533), 'Man': np.float32(67.65047)}"
3718,10-19,Female,Southeast Asian,32,Man,"{'Woman': np.float32(21.72979), 'Man': np.float32(78.27021)}"
3719,10-19,Male,Latino_Hispanic,28,Woman,"{'Woman': np.float32(96.69999), 'Man': np.float32(3.300013)}"
3720,3-9,Male,Latino_Hispanic,25,Woman,"{'Woman': np.float32(98.34056), 'Man': np.float32(1.6594391)}"
3726,0-2,Male,East Asian,36,Woman,"{'Woman': np.float32(53.923244), 'Man': np.float32(46.076756)}"
3735,10-19,Female,Southeast Asian,37,Woman,"{'Woman': np.float32(94.57847), 'Man': np.float32(5.4215302)}"
3743,0-2,Male,White,41,Man,"{'Woman': np.float32(49.85072), 'Man': np.float32(50.149284)}"
3746,10-19,Female,Latino_Hispanic,30,Woman,"{'Woman': np.float32(55.262547), 'Man': np.float32(44.737457)}"
3748,3-9,Male,Southeast Asian,24,Man,"{'Woman': np.float32(4.6850977), 'Man': np.float32(95.314896)}"
3754,3-9,Male,Indian,36,Woman,"{'Woman': np.float32(50.658577), 'Man': np.float32(49.341415)}"
